지역명,2022관광지출액,2021관광지출액,2022검색건수,2021검색건수,2022방문자수,2021방문자수,폐업추세,,,영업상태구분코드,,,폐업일자,,지역명1,,,,
,,,,,,,,152,,3,,,2013,,강원도 정선군 정선읍 덕송리 408번지,,,,
,,,,,,,,153,,3,,,2019,,강원도 정선군 정선읍 회동리 171-1번지,,,,
,,,,,,,,154,,3,,,2021,,강원도 정선군 남면 무릉리 741-5,,,,
,,,,,,,,155,,3,,,2017,,강원도 정선군 남면 741-6번지,,,,
,,,,,,,,156,,3,,,2019,,강원도 삼척시 근덕면 장호리 185-4번지,,,,
,,,,,,,,157,,3,,,2015,,강원도 홍천군 홍천읍 삼마치리 385번지,,,,
,,,,,,,,158,,3,,,2015,,강원도 홍천군 서면 대곡리 1040-1번지,,,,
,,,,,,,,159,,3,,,2017,,강원도 홍천군 북방면 노일리 901-3번지,,,,
,,,,,,,,160,,3,,,2016,,강원도 홍천군 서석면 수하리 1301-8번지,,,,
,,,,,,,,161,,3,,,2018,,강원도 홍천군 내촌면 광암리 472-4번지,,,,
,,,,,,,,162,,3,,,2018,,강원도 양양군 손양면 도화리 183-12번지,,,,
,,,,,,,,163,,3,,,2015,,강원도 양양군 손양면 도화리 183-4번지,,,,
,,,,,,,,164,,3,,,2016,,강원도 양양군 서면 내현리 30-15,,,,
,,,,,,,,165,,3,,,2015,,강원도 양양군 서면 내현리 30-16,,,,
,,,,,,,,166,,3,,,2021,,경상남도 거제시 동부면 가배리 738-5,,,,
,,,,,,,,167,,3,,,2017,,경상남도 남해군 상주면 상주리 230번지,,,,
,,,,,,,,169,,3,,,2019,,경상남도 거제시 일운면 망치리 58-2번지,,,,
,,,,,,,,170,,3,,,2014,,경상남도 통영시 욕지면 동항리 409-2번지,,,,
,,,,,,,,171,,3,,,2018,,경상남도 통영시 산양읍 신전리 175-1번지,,,,
,,,,,,,,172,,3,,,2018,,경상남도 통영시 용남면 장문리 915-1번지,,,,
,,,,,,,,173,,3,,,2018,,경상남도 통영시 용남면 원평리 1151번지,,,,
,,,,,,,,174,,3,,,2018,,경상남도 통영시 산양읍 미남리 92-6번지,,,,
,,,,,,,,175,,3,,,2019,,경상남도 통영시 산양읍 영운리 529-1번지,,,,
,,,,,,,,176,,3,,,2020,,경상남도 통영시 욕지면 동항리 1245-2 펜션,,,,
,,,,,,,,177,,3,,,2016,,강원도 평창군 봉평면 흥정리 250-8번지,,,,
,,,,,,,,178,,3,,,2014,,강원도 평창군 봉평면 면온리 697-8번지,,,,
,,,,,,,,179,,3,,,2017,,강원도 평창군 진부면 수항리 208-2번지,,,,
,,,,,,,,180,,3,,,2016,,강원도 평창군 방림면 계촌리 2223번지,,,,
,,,,,,,,181,,3,,,2014,,강원도 평창군 봉평면 면온리 693-11번지,,,,
,,,,,,,,182,,3,,,2016,,강원도 평창군 방림면 계촌리 2226-1번지,,,,
,,,,,,,,183,,3,,,2015,,강원도 평창군 진부면 탑동리 339-3번지,,,,
,,,,,,,,184,,3,,,2015,,강원도 홍천군 서면 팔봉리 993-2번지 1통1반,,,,
,,,,,,,,185,,3,,,2018,,강원도 홍천군 서면 대곡리 25번지,,,,
,,,,,,,,186,,3,,,2019,,강원도 홍천군 서면 팔봉리 978-2번지 0통,,,,
,,,,,,,,187,,3,,,2022,,강원도 홍천군 남면 월천리 103-1,,,,
,,,,,,,,188,,3,,,2022,,강원도 홍천군 북방면 장항리 98-3,,,,
,,,,,,,,189,,3,,,2021,,강원도 홍천군 북방면 장항리 201-30,,,,
,,,,,,,,190,,3,,,2021,,강원도 홍천군 북방면 장항리 201-31,,,,
,,,,,,,,191,,3,,,2019,,강원도 양구군 양구읍 상리 525-4번지,,,,
,,,,,,,,192,,3,,,2014,,강원도 강릉시 저동 64-6번지,,,,
,,,,,,,,193,,3,,,2015,,강원도 강릉시 사천면 석교리 343-1번지,,,,
,,,,,,,,194,,3,,,2014,,강원도 강릉시 강동면 정동진리 산 33-1번지,,,,
,,,,,,,,195,,3,,,2014,,강원도 강릉시 연곡면 삼산리,,,,
,,,,,,,,196,,3,,,2015,,강원도 태백시 황지동 496-2번지,,,,
,,,,,,,,197,,3,,,2016,,강원도 고성군 토성면 천진리 47번지,,,,
,,,,,,,,198,,3,,,2021,,충청남도 태안군 안면읍 황도리 64-25 바다가되고싶어요,,,,
,,,,,,,,199,,3,,,2022,,충청남도 태안군 안면읍 황도리 73-4,,,,
,,,,,,,,200,,3,,,2014,,경상남도 산청군 산청읍 차탄리 498-1번지,,,,
,,,,,,,,201,,3,,,2014,,경상남도 산청군 산청읍 차탄리 498-2번지,,,,
,,,,,,,,202,,3,,,2015,,경상남도 산청군 산청읍 내리 877번지,,,,
,,,,,,,,203,,3,,,2016,,경상남도 산청군 시천면 중산리 544번지,,,,
